Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,HALISI,,,"1,333.33",Tax 18%,18,Inclusive,"1,500.00",20,
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,MINARA,,,"1,416.67",Tax 18%,18,Inclusive,"2,000.00",11,
MAFUTA NAZI 70ML,VIMIMINIKA,,,PIECES,5,HALISI,,,583.33,Tax 18%,18,Inclusive,"1,000.00",22,
MAFUTA NAZI 500ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,"7,083.33",Tax 18%,18,Inclusive,"9,000.00",6,
MAFUTA NAZI 200ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,"3,000.00",Tax 18%,18,Inclusive,"3,500.00",9,
MAFUTA NAZI 100ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,"2,166.67",Tax 18%,18,Inclusive,"2,500.00",14,
MAFUTANAZI 50ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,"1,500.00",Tax 18%,18,Inclusive,"2,000.00",21,
MAFUTA NYWELE 50ML,VIMIMINIKA,,,PIECES,5,BODY LUXE,,,666.67,Tax 18%,18,Inclusive,"1,000.00",12,
NGANO,NAFAKA,,,PIECES,5,AZAM P.P.F,,,"1,916.67",Tax 18%,18,Inclusive,"2,800.00",19,
NGANO,NAFAKA,,,PIECES,5,AZAM FLOUR ,,,"1,500.00",Tax 18%,18,Inclusive,"2,000.00",14,
TEA MASALA KOPO,NAFAKA,,,PIECES,5,TROPICAL HEAT,,,"5,666.67",Tax 18%,18,Inclusive,"7,000.00",6,
VANILLA,VIMIMINIKA,,,PIECES,5,NANDI,,,"1,250.00",Tax 18%,18,Inclusive,"2,000.00",12,
BAKING POWDER,NAFAKA,,,PIECES,5,CHAPA MANDASHI,,,750.00,Tax 18%,18,Inclusive,"1,000.00",11,
TEA MASALA PACTI,NAFAKA,,,PIECES,5,TROPICAL HEAT,,,750.00,Tax 18%,18,Inclusive,"1,000.00",23,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,SKALA,,,916.67,Tax 18%,18,Inclusive,"1,000.00",12,
MAFUTA KUPAKA 50G,VIMIMINIKA,,,PIECES,5,SKALA,,,541.67,Tax 18%,18,Inclusive,700.00,12,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,BABYCARE,,,916.67,Tax 18%,18,Inclusive,"1,000.00",11,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,BABYCARE,,,200.00,Tax 18%,18,Inclusive,300.00,10,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,BOSS,,,916.67,Tax 18%,18,Inclusive,"1,000.00",6,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,HERBAL,,,916.67,Tax 18%,18,Inclusive,"1,000.00",12,
MAFUTA KUPAKA 50G,VIMIMINIKA,,,PIECES,5,HERBAL,,,541.67,Tax 18%,18,Inclusive,700.00,10,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,HERBAL,,,200.00,Tax 18%,18,Inclusive,300.00,24,
MAFUTA KUPAKA 95ML,VIMIMINIKA,,,PIECES,5,VASELINE,,,"2,500.00",Tax 18%,18,Inclusive,"3,000.00",12,
MAFUTA KUPAKA 45ML,VIMIMINIKA,,,PIECES,5,VASELINE,,,"1,666.67",Tax 18%,18,Inclusive,"2,000.00",12,
MAFUTA KUPAKA 25ML,VIMIMINIKA,,,PIECES,5,VASELINE,,,750.00,Tax 18%,18,Inclusive,"1,000.00",23,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,AFROCARE,,,200.00,Tax 18%,18,Inclusive,300.00,12,
